experiment,condition,phase_dir,N,M,p_noise,theta,lam,round,agent_id,model,action,true_coop,B_eff,EU,real_reward,avg_other_coop,expected_other_coop,belief_other_coop,retaliation_pressure,forgiveness_pressure,target_coop,streak_prev,action_changed,confidence,n_opp_defective,n_opp_reciprocal,payoff_drift,reason
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,1,0,gpt_oss_20b,4,0.0,12.0,,12.0,1.0,,,0,0,,0,False,0.7,0,0,0.0,"Immediate payoff higher when defecting; no history suggests opponent may defect, so maximizing long-term reward by choosing maximum defection."
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,2,0,gpt_oss_20b,4,0.0,11.9825,,11.9825,1.0,,,0,0,,0,False,0.9,0,0,0.5,"Opponent cooperated last round, so defecting yields higher immediate payoff (B_eff - 0) versus cooperating (B_eff - C)."
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,3,0,gpt_oss_20b,0,1.0,11.965,,0.973749999999999,0.75,,,0,0,,0,True,0.6,0,0,0.5,"Cooperate to raise future B_eff via streak and drift, offsetting lower immediate payoff; opponent just cooperated, suggesting willingness to reciprocate."
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,4,0,gpt_oss_20b,4,0.0,12.725470227637118,,9.544102670727838,0.75,,,0,0,,1,True,0.7,0,0,0.625,"Defect now for high immediate payoff (≈9.5) while opponent’s history shows no defection yet, so retaliation risk is low. The short-term loss of streak and B_eff is outweighed by the long-term benefit of occasional high-payoff rounds, with B_base and "
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,5,0,gpt_oss_20b,4,0.0,11.995624999999999,,11.995624999999999,1.0,,,0,0,,0,False,0.8,0,0,0.5625,Defect yields higher immediate payoff given opponent’s high cooperation (≈0.875) and no streak benefit for cooperation.
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,6,0,gpt_oss_20b,4,0.0,11.995624999999999,,0.0,0.0,,,0,0,,0,False,0.92,0,0,0.55,Opponent has cooperated 3/5 times; defecting maximizes immediate payoff (11.9956) while maintaining high B_eff; no evidence of retaliation.
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,7,0,gpt_oss_20b,3,0.25,11.963541666666666,,9.963541666666666,1.0,,,0,0,,0,True,0.75,0,0,0.4583333333333333,Cooperating at level 0.25 yields a guaranteed B_eff boost via streak rule (≈+0.74 future payoff) while keeping cost low; immediate payoff loss is outweighed by long‑term benefit.
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,8,0,gpt_oss_20b,4,0.0,12.670861117761405,,12.670861117761405,1.0,,,0,0,,1,True,0.92,0,0,0.48214285714285715,"Defecting maximizes immediate payoff (no cost) while B_eff will drop only slightly if streak resets; opponent is already fairly cooperative, so no incentive to cooperate."
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,9,0,gpt_oss_20b,4,0.0,11.916822916666666,,0.0,0.0,,,0,0,,0,False,0.8,0,0,0.484375,Defecting maximizes immediate payoff given opponent’s recent high cooperation (avg_other_coop≈1.0) and the high cost of own cooperation (C=8).
causal_N_progressive,N=2,progressive__n2__m5__t50,2,5,0.05,0.6,0.25,10,0,gpt_oss_20b,4,0.0,11.871979166666666,,11.871979166666666,1.0,,,0,0,,0,False,0.85,0,0,0.421875,Defecting yields higher expected payoff given opponent’s 55.6% cooperation probability and high cost of cooperation; B_eff remains unchanged and future benefits are not offset by the cost.
