model_label,opponent_p,llm_coop_rate_mean,llm_avg_reward_mean,payoff_gap_mean,nice_mean,retaliatory_mean,forgiving_mean,switch_rate_mean,n
deepseek_v32,0.2,0.06,0.34,0.42000000000000004,1.0,0.9746835443037974,0.10526315789473684,0.0707070707070707,1
deepseek_v32,0.4,0.19,0.49,0.45,1.0,0.9230769230769231,0.2222222222222222,0.13131313131313133,1
deepseek_v32,0.6,0.5,0.58,0.11999999999999994,1.0,0.7555555555555555,0.4074074074074074,0.25252525252525254,1
deepseek_v32,0.8,0.85,0.73,-0.18000000000000005,1.0,0.5,0.375,0.08080808080808081,1
gemma3_27b,0.2,0.03,0.37,0.51,1.0,0.9873417721518988,0.05,0.030303030303030304,1
gemma3_27b,0.4,0.15,0.53,0.5700000000000001,1.0,0.9230769230769231,0.16666666666666666,0.1111111111111111,1
gemma3_27b,0.6,0.31,0.77,0.6900000000000001,1.0,0.8222222222222222,0.1794871794871795,0.15151515151515152,1
gemma3_27b,0.8,0.78,0.8,0.030000000000000027,1.0,0.55,0.21428571428571427,0.0707070707070707,1
gpt_oss_20b,0.2,0.09,0.31,0.33,1.0,0.9746835443037974,0.2631578947368421,0.1111111111111111,1
gpt_oss_20b,0.4,0.2,0.48,0.42,1.0,0.9230769230769231,0.25925925925925924,0.15151515151515152,1
gpt_oss_20b,0.6,0.39,0.69,0.44999999999999996,1.0,0.8,0.2647058823529412,0.1919191919191919,1
gpt_oss_20b,0.8,0.78,0.8,0.030000000000000027,1.0,0.55,0.21428571428571427,0.0707070707070707,1
llama31_8b,0.2,0.03,0.37,0.51,1.0,0.9873417721518988,0.05,0.030303030303030304,1
llama31_8b,0.4,0.15,0.53,0.5700000000000001,1.0,0.9230769230769231,0.16666666666666666,0.1111111111111111,1
llama31_8b,0.6,0.31,0.77,0.6900000000000001,1.0,0.8222222222222222,0.1794871794871795,0.15151515151515152,1
llama31_8b,0.8,0.82,0.76,-0.08999999999999997,1.0,0.5,0.2727272727272727,0.08080808080808081,1
qwen3_235b_a22b_2507,0.2,0.03,0.37,0.51,1.0,0.9873417721518988,0.05,0.030303030303030304,1
qwen3_235b_a22b_2507,0.4,0.16,0.52,0.54,1.0,0.9230769230769231,0.1724137931034483,0.1111111111111111,1
qwen3_235b_a22b_2507,0.6,0.31,0.77,0.6900000000000001,1.0,0.8222222222222222,0.1794871794871795,0.15151515151515152,1
qwen3_235b_a22b_2507,0.8,0.78,0.8,0.030000000000000027,1.0,0.55,0.21428571428571427,0.0707070707070707,1
