match_id,model,baseline,seed,round,coop,reward,cumulative_reward
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,1,1.0,4.0,4.0
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,2,1.0,4.901899659543274,8.901899659543274
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,3,1.0,5.737743197914256,14.63964285745753
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,4,1.0,6.452973827162612,21.09261668462014
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,5,1.0,7.03473354743033,28.127350232050468
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,6,1.0,7.499356761489178,35.62670699353964
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,7,1.0,7.874286035858203,43.50099302939785
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,8,1.0,8.186093248290184,51.68708627768803
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,9,1.0,8.455751427951338,60.142837705639366
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,10,1.0,8.698166348627016,68.84100405426638
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,11,1.0,8.923322274351424,77.7643263286178
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,12,1.0,9.137678416908237,86.90200474552603
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,13,1.0,9.345327632177181,96.2473323777032
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,14,1.0,9.548831071124255,105.79616344882746
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,15,1.0,9.749779258891781,115.54594270771923
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,16,1.0,9.949155358413602,125.49509806613284
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,17,1.0,10.147565358052827,135.64266342418566
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,18,1.0,6.6556250000000095,142.29828842418567
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,19,1.0,7.696913291319724,149.9952017155054
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,20,1.0,8.651366260443886,158.6465679759493
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,21,1.0,9.381808571452328,168.02837654740162
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,22,1.0,9.855978084834117,177.88435463223573
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,23,1.0,10.181063649840674,188.0654182820764
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,24,1.0,10.39430595116825,198.45972423324463
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,25,1.0,10.53015826936483,208.98988250260945
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,26,1.0,10.61510342528431,219.60498592789375
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,27,1.0,10.667597930270553,230.2725838581643
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,28,1.0,10.699803618067861,240.97238747623214
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,29,1.0,10.719473967130781,251.69186144336294
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,30,1.0,10.73145532632524,262.4233167696882
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,31,1.0,10.738741133074473,273.1620579027627
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,32,1.0,10.743167116041995,283.9052250188047
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,33,1.0,10.745854160223072,294.65107917902776
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,34,1.0,10.747484874021502,305.39856405304926
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,35,1.0,10.748474297664586,316.14703835071384
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,36,1.0,10.749074540680102,326.89611289139395
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,37,1.0,10.74943865329367,337.64555154468763
deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,Always Cooperate,101,38,1.0,10.749659515984732,348.39521106067235
