model,baseline,common_response_pattern,mean_coop,mean_payoff,median_first_defection_round
DeepSeek-V3.2,Always Cooperate,Cooperate throughout,1.0,1.0,
DeepSeek-V3.2,Graded TFT,Cooperate throughout,1.0,1.0,
DeepSeek-V3.2,WSLS,Stable cooperation,1.0,1.0,
DeepSeek-V3.2,★ Random,Mixed / random retaliation,0.45,0.49,2.0
DeepSeek-V3.2,Always Defect,"Cooperate once, then defect",0.01,-0.01,2.0
DeepSeek-V3.2,Grim Trigger,Standard reciprocal / grim-style response,0.01,-0.01,2.0
GPT-OSS-20B,Always Cooperate,Cooperate throughout,1.0,1.0,
GPT-OSS-20B,Graded TFT,Cooperate throughout,1.0,1.0,
GPT-OSS-20B,WSLS,Stable cooperation,1.0,1.0,
GPT-OSS-20B,★ Random,Mixed / random retaliation,0.46,0.48,2.0
GPT-OSS-20B,Always Defect,"Cooperate once, then defect",0.01,-0.01,2.0
GPT-OSS-20B,Grim Trigger,Standard reciprocal / grim-style response,0.01,-0.01,2.0
Gemma-3-27B,Always Cooperate,Cooperate throughout,1.0,1.0,
Gemma-3-27B,Graded TFT,Cooperate throughout,1.0,1.0,
Gemma-3-27B,WSLS,Stable cooperation,1.0,1.0,
Gemma-3-27B,★ Random,Mixed / random retaliation,0.2,0.74,2.0
Gemma-3-27B,Always Defect,"Cooperate once, then defect",0.01,-0.01,2.0
Gemma-3-27B,Grim Trigger,Standard reciprocal / grim-style response,0.01,-0.01,2.0
Llama-3.1-8B,Always Cooperate,Cooperate throughout,1.0,1.0,
Llama-3.1-8B,Graded TFT,Cooperate throughout,1.0,1.0,
Llama-3.1-8B,WSLS,Stable cooperation,1.0,1.0,
Llama-3.1-8B,★ Random,Mixed / random retaliation,0.2,0.74,2.0
Llama-3.1-8B,Always Defect,"Cooperate once, then defect",0.01,-0.01,2.0
Llama-3.1-8B,Grim Trigger,Standard reciprocal / grim-style response,0.01,-0.01,2.0
Qwen3-235B,Always Cooperate,Cooperate throughout,1.0,1.0,
Qwen3-235B,Graded TFT,Cooperate throughout,1.0,1.0,
Qwen3-235B,WSLS,Stable cooperation,1.0,1.0,
Qwen3-235B,★ Random,Mixed / random retaliation,0.2,0.74,2.0
Qwen3-235B,Always Defect,"Cooperate once, then defect",0.01,-0.01,2.0
Qwen3-235B,Grim Trigger,Standard reciprocal / grim-style response,0.01,-0.01,2.0
