match_dir,t,seat,agent,kind,action,coop,obs_action,obs_coop,reward,B_eff,B_base,obs_coop_mean,r_obs_prev,r_obs_next,streak_prev,streak_next,gtft_action,N,M,p,lam,seed,switched,matches_gtft
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,1,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.0,0.8,0,1,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,2,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8,0.8,1,2,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,3,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8,0.8000000000000002,2,3,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,4,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8000000000000002,0.8,3,4,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,5,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8,0.8,4,5,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,6,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.8,0.7999999999999999,5,6,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,7,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,6,7,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,8,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,7,8,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,9,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,8,9,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,10,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,9,10,0,5,2,0.0,0.0,101,0.0,1.0
ac-ad-gtft-gpt4om-grok41f__hc0e419__n5__m2__p0.00__l0.00__s101,11,0,always_cooperate,deterministic,0,1.0,0,1.0,0.5,2.0,2.0,0.8,0.7999999999999999,0.7999999999999999,10,11,0,5,2,0.0,0.0,101,0.0,1.0
