match_dir,M,p,lam,seed,avg_group_coop,avg_group_reward,avg_obs_group_coop,final_B_eff,final_obs_coop_mean,final_streak
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.00__s101,2,0.0,0.0,101,0.8,0.8,0.8,2.0,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.30__s101,2,0.0,0.3,101,0.8,1.241768720465945,0.8,2.599999996310144,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.00__l0.60__s101,2,0.0,0.6,101,0.8,1.6835374409318902,0.8,3.1999999926202882,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.10__l0.00__s101,2,0.1,0.0,101,0.332,0.332,0.38,2.0,0.8,8
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.10__l0.30__s101,2,0.1,0.3,101,0.364,0.43428098982327223,0.404,2.5312109889213574,0.8,8
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.10__l0.60__s101,2,0.1,0.6,101,0.332,0.43562667502753377,0.38,3.062421977842715,0.8,8
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.20__l0.00__s101,2,0.2,0.0,101,0.26,0.26,0.3,2.0,0.0,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.20__l0.30__s101,2,0.2,0.3,101,0.26,0.26984114405633414,0.3,2.0,0.0,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m2__p0.20__l0.60__s101,2,0.2,0.6,101,0.26,0.2796822881126683,0.3,2.0,0.0,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.00__l0.00__s101,3,0.0,0.0,101,0.8,0.8,0.8,2.0,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.00__l0.30__s101,3,0.0,0.3,101,0.8,1.241768720465945,0.8,2.599999996310144,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.00__l0.60__s101,3,0.0,0.6,101,0.8,1.6835374409318902,0.8,3.1999999926202882,0.8,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.10__l0.00__s101,3,0.1,0.0,101,0.492,0.492,0.498,2.0,0.4,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.10__l0.30__s101,3,0.1,0.3,101,0.49,0.5117973258530755,0.498,2.0,0.4,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.10__l0.60__s101,3,0.1,0.6,101,0.492,0.5368835706669463,0.498,2.0,0.4,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.20__l0.00__s101,3,0.2,0.0,101,0.432,0.432,0.43,2.0,0.3,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.20__l0.30__s101,3,0.2,0.3,101,0.432,0.4406568921349847,0.43,2.0,0.3,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m3__p0.20__l0.60__s101,3,0.2,0.6,101,0.432,0.4493137842699695,0.43,2.0,0.3,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.00__l0.00__s101,5,0.0,0.0,101,0.653,0.653,0.653,2.0,0.65,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.00__l0.30__s101,5,0.0,0.3,101,0.653,1.0119370853785803,0.653,2.599999996310144,0.65,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.00__l0.60__s101,5,0.0,0.6,101,0.653,1.3708741707571608,0.653,3.1999999926202882,0.65,50
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.10__l0.00__s101,5,0.1,0.0,101,0.468,0.468,0.476,2.0,0.4,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.10__l0.30__s101,5,0.1,0.3,101,0.472,0.48513650909409595,0.48,2.0,0.45,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.10__l0.60__s101,5,0.1,0.6,101,0.472,0.498273018188192,0.48,2.0,0.45,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.20__l0.00__s101,5,0.2,0.0,101,0.448,0.448,0.444,2.0,0.15,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.20__l0.30__s101,5,0.2,0.3,101,0.448,0.4575954126651475,0.444,2.0,0.15,0
ac-ad-gtft-dsv3-ch__hc1002e__n5__m5__p0.20__l0.60__s101,5,0.2,0.6,101,0.448,0.46719082533029505,0.444,2.0,0.15,0
