match_dir,model_label,model_id,opponent_label,opponent_p,seed,num_rounds,llm_total_reward,opp_total_reward,llm_avg_reward,opp_avg_reward,payoff_gap,llm_coop_rate,opp_coop_rate,nice,retaliatory,forgiving,switch_rate
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\deepseek_v32__vs__urnd_p20__seed101,deepseek_v32,deepseek/deepseek-v3.2,urnd_p20,0.2,101,100,34.0,-8.0,0.34,-0.08,0.42000000000000004,0.06,0.2,1.0,0.9746835443037974,0.10526315789473684,0.0707070707070707
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\deepseek_v32__vs__urnd_p40__seed101,deepseek_v32,deepseek/deepseek-v3.2,urnd_p40,0.4,101,100,49.0,4.0,0.49,0.04,0.45,0.19,0.34,1.0,0.9230769230769231,0.2222222222222222,0.13131313131313133
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\deepseek_v32__vs__urnd_p60__seed101,deepseek_v32,deepseek/deepseek-v3.2,urnd_p60,0.6,101,100,58.0,46.0,0.58,0.46,0.11999999999999994,0.5,0.54,1.0,0.7555555555555555,0.4074074074074074,0.25252525252525254
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\deepseek_v32__vs__urnd_p80__seed101,deepseek_v32,deepseek/deepseek-v3.2,urnd_p80,0.8,101,100,73.0,91.0,0.73,0.91,-0.18000000000000005,0.85,0.79,1.0,0.5,0.375,0.08080808080808081
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gemma3_27b__vs__urnd_p20__seed101,gemma3_27b,google/gemma-3-27b-it,urnd_p20,0.2,101,100,37.0,-14.0,0.37,-0.14,0.51,0.03,0.2,1.0,0.9873417721518988,0.05,0.030303030303030304
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gemma3_27b__vs__urnd_p40__seed101,gemma3_27b,google/gemma-3-27b-it,urnd_p40,0.4,101,100,53.0,-4.0,0.53,-0.04,0.5700000000000001,0.15,0.34,1.0,0.9230769230769231,0.16666666666666666,0.1111111111111111
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gemma3_27b__vs__urnd_p60__seed101,gemma3_27b,google/gemma-3-27b-it,urnd_p60,0.6,101,100,77.0,8.0,0.77,0.08,0.6900000000000001,0.31,0.54,1.0,0.8222222222222222,0.1794871794871795,0.15151515151515152
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gemma3_27b__vs__urnd_p80__seed101,gemma3_27b,google/gemma-3-27b-it,urnd_p80,0.8,101,100,80.0,77.0,0.8,0.77,0.030000000000000027,0.78,0.79,1.0,0.55,0.21428571428571427,0.0707070707070707
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gpt_oss_20b__vs__urnd_p20__seed101,gpt_oss_20b,openai/gpt-oss-20b,urnd_p20,0.2,101,100,31.0,-2.0,0.31,-0.02,0.33,0.09,0.2,1.0,0.9746835443037974,0.2631578947368421,0.1111111111111111
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gpt_oss_20b__vs__urnd_p40__seed101,gpt_oss_20b,openai/gpt-oss-20b,urnd_p40,0.4,101,100,48.0,6.0,0.48,0.06,0.42,0.2,0.34,1.0,0.9230769230769231,0.25925925925925924,0.15151515151515152
results\hostility_sweep\hs__N2_M2_T100__p0.00__lam0.00__eta0.00__seeds1__f5__u4__t100__20260421_150314\gpt_oss_20b__vs__urnd_p60__seed101,gpt_oss_20b,openai/gpt-oss-20b,urnd_p60,0.6,101,100,69.0,24.0,0.69,0.24,0.44999999999999996,0.39,0.54,1.0,0.8,0.2647058823529412,0.1919191919191919
