match_dir,match_id,seed,model_raw,model,baseline_raw,baseline,mean_coop,mean_payoff,early_coop,late_coop,delta_late_minus_early,switch_rate,retaliation,forgiveness,num_rounds,agent_output_files,agent_output_chars
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed101,deepseek_v32__vs__always_cooperate__seed101,101,deepseek_v32,DeepSeek-V3.2,always_cooperate,Always Cooperate,1.0,9.547893749855758,1.0,1.0,0.0,0.0,,,50,2,235345
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed102,deepseek_v32__vs__always_cooperate__seed102,102,deepseek_v32,DeepSeek-V3.2,always_cooperate,Always Cooperate,1.0,9.759580610663024,1.0,1.0,0.0,0.0,,,50,2,233525
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed103,deepseek_v32__vs__always_cooperate__seed103,103,deepseek_v32,DeepSeek-V3.2,always_cooperate,Always Cooperate,0.99,9.212552576056524,0.95,1.0,0.050000000000000044,0.02040816326530612,,,50,2,231664
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed104,deepseek_v32__vs__always_cooperate__seed104,104,deepseek_v32,DeepSeek-V3.2,always_cooperate,Always Cooperate,0.99,8.94138984437509,0.95,1.0,0.050000000000000044,0.02040816326530612,,,50,2,232103
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed105,deepseek_v32__vs__always_cooperate__seed105,105,deepseek_v32,DeepSeek-V3.2,always_cooperate,Always Cooperate,1.0,9.795401576529459,1.0,1.0,0.0,0.0,,,50,2,231261
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed101,deepseek_v32__vs__always_defect__seed101,101,deepseek_v32,DeepSeek-V3.2,always_defect,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50,2,234166
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed102,deepseek_v32__vs__always_defect__seed102,102,deepseek_v32,DeepSeek-V3.2,always_defect,Always Defect,0.02,-0.16,0.1,0.0,-0.1,0.061224489795918366,0.04081632653061224,,50,2,232357
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed103,deepseek_v32__vs__always_defect__seed103,103,deepseek_v32,DeepSeek-V3.2,always_defect,Always Defect,0.04,-0.32,0.2,0.0,-0.2,0.061224489795918366,0.04081632653061224,,50,2,229242
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed104,deepseek_v32__vs__always_defect__seed104,104,deepseek_v32,DeepSeek-V3.2,always_defect,Always Defect,0.125,-1.0,0.425,0.0,-0.425,0.12244897959183673,0.061224489795918366,,50,2,233818
src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed105,deepseek_v32__vs__always_defect__seed105,105,deepseek_v32,DeepSeek-V3.2,always_defect,Always Defect,0.08,-0.64,0.2,0.0,-0.2,0.14285714285714285,0.08163265306122448,,50,2,230288
