match_id,seed,model,baseline,round,llm_coop,opp_coop,llm_action,opp_action,llm_reward
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,1,1.0,1.0,0,0,4.0
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,2,1.0,1.0,0,0,4.901899659543274
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,3,1.0,1.0,0,0,5.737743197914256
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,4,1.0,1.0,0,0,6.452973827162612
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,5,1.0,1.0,0,0,7.03473354743033
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,6,1.0,1.0,0,0,7.499356761489178
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,7,1.0,1.0,0,0,7.874286035858203
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,8,1.0,1.0,0,0,8.186093248290184
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,9,1.0,1.0,0,0,8.455751427951338
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,10,1.0,1.0,0,0,8.698166348627016
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,11,1.0,1.0,0,0,8.923322274351424
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,12,1.0,1.0,0,0,9.137678416908237
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,13,1.0,1.0,0,0,9.345327632177181
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,14,1.0,1.0,0,0,9.548831071124255
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,15,1.0,1.0,0,0,9.749779258891781
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,16,1.0,1.0,0,0,9.949155358413602
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,17,1.0,1.0,0,0,10.147565358052827
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,18,1.0,1.0,0,0,6.6556250000000095
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,19,1.0,1.0,0,0,7.696913291319724
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,20,1.0,1.0,0,0,8.651366260443886
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,21,1.0,1.0,0,0,9.381808571452328
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,22,1.0,1.0,0,0,9.855978084834117
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,23,1.0,1.0,0,0,10.181063649840674
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,24,1.0,1.0,0,0,10.39430595116825
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,25,1.0,1.0,0,0,10.53015826936483
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,26,1.0,1.0,0,0,10.61510342528431
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,27,1.0,1.0,0,0,10.667597930270553
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,28,1.0,1.0,0,0,10.699803618067861
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,29,1.0,1.0,0,0,10.719473967130781
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,30,1.0,1.0,0,0,10.73145532632524
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,31,1.0,1.0,0,0,10.738741133074473
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,32,1.0,1.0,0,0,10.743167116041995
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,33,1.0,1.0,0,0,10.745854160223072
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,34,1.0,1.0,0,0,10.747484874021502
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,35,1.0,1.0,0,0,10.748474297664586
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,36,1.0,1.0,0,0,10.749074540680102
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,37,1.0,1.0,0,0,10.74943865329367
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,38,1.0,1.0,0,0,10.749659515984732
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,39,1.0,1.0,0,0,10.74979348231664
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,40,1.0,1.0,0,0,10.74987473933614
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,41,1.0,1.0,0,0,10.749924025067646
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,42,1.0,1.0,0,0,10.749953918690487
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,43,1.0,1.0,0,0,10.749972050205368
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,44,1.0,1.0,0,0,10.749983047567767
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,45,1.0,1.0,0,0,10.749989717820949
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,46,1.0,1.0,0,0,10.749993763539791
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,47,1.0,1.0,0,0,10.74999621739444
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,48,1.0,1.0,0,0,10.749997705733296
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,49,1.0,1.0,0,0,10.749998608456735
deepseek_v32__vs__always_cooperate__seed101,101,DeepSeek-V3.2,Always Cooperate,50,1.0,1.0,0,0,10.749999155986284
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,1,1.0,1.0,0,0,4.0
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,2,1.0,1.0,0,0,4.901899659543274
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,3,1.0,1.0,0,0,5.737743197914256
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,4,1.0,1.0,0,0,6.452973827162612
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,5,1.0,1.0,0,0,7.008693579389945
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,6,1.0,1.0,0,0,7.451631469408346
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,7,1.0,1.0,0,0,7.808117629728304
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,8,1.0,1.0,0,0,8.103994352624522
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,9,1.0,1.0,0,0,8.35970266513893
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,10,1.0,1.0,0,0,8.588234938593196
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,11,1.0,1.0,0,0,8.799565935129063
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,12,1.0,1.0,0,0,9.000142281788616
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,13,1.0,1.0,0,0,9.207703467349035
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,14,1.0,1.0,0,0,9.411153375854852
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,15,1.0,1.0,0,0,9.612069044941965
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,16,1.0,1.0,0,0,9.811425402153066
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,17,1.0,1.0,0,0,10.009823420575632
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,18,1.0,1.0,0,0,10.20763289327224
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,19,1.0,1.0,0,0,10.405081103621242
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,20,1.0,1.0,0,0,10.602307641639356
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,21,1.0,1.0,0,0,10.749659515984732
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,22,1.0,1.0,0,0,10.74979348231664
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,23,1.0,1.0,0,0,10.74987473933614
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,24,1.0,1.0,0,0,10.749924025067646
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,25,1.0,1.0,0,0,10.749953918690487
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,26,1.0,1.0,0,0,10.749972050205368
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,27,1.0,1.0,0,0,10.749983047567767
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,28,1.0,1.0,0,0,10.749989717820949
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,29,1.0,1.0,0,0,10.749993763539791
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,30,1.0,1.0,0,0,10.74999621739444
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,31,1.0,1.0,0,0,10.749997705733296
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,32,1.0,1.0,0,0,10.749998608456735
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,33,1.0,1.0,0,0,10.749999155986284
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,34,1.0,1.0,0,0,10.74999948807978
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,35,1.0,1.0,0,0,10.749999689504683
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,36,1.0,1.0,0,0,10.749999811675067
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,37,1.0,1.0,0,0,10.749999885775154
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,38,1.0,1.0,0,0,10.749999930719127
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,39,1.0,1.0,0,0,10.749999957979028
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,40,1.0,1.0,0,0,10.749999974512992
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,41,1.0,1.0,0,0,10.74999998454135
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,42,1.0,1.0,0,0,10.749999990623852
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,43,1.0,1.0,0,0,10.749999994313079
deepseek_v32__vs__always_cooperate__seed102,102,DeepSeek-V3.2,Always Cooperate,44,1.0,1.0,0,0,10.74999999655071
