model,baseline,mean_coop,mean_payoff,switch_rate,early_coop,late_coop,retaliation,forgiveness,n_seeds,agent_output_files,agent_output_chars
DeepSeek-V3.2,Always Cooperate,0.9960000000000001,9.451363671495972,0.008163265306122448,0.9800000000000001,1.0,,,5,10,1163898
DeepSeek-V3.2,Always Defect,0.053000000000000005,-0.42400000000000004,0.07755102040816327,0.185,0.0,0.044897959183673466,,5,10,1159871
DeepSeek-V3.2,Graded TFT,1.0,8.781606167046618,0.0,1.0,1.0,0.0,,5,10,1165453
DeepSeek-V3.2,Grim Trigger,0.096,-0.768,0.11836734693877551,0.27999999999999997,0.06000000000000001,0.0653061224489796,,5,10,1164556
DeepSeek-V3.2,Random,0.8210000000000001,0.02226501257553326,0.14693877551020407,0.79,0.86,0.11446790890269151,1.0,5,10,1193596
DeepSeek-V3.2,WSLS,0.8619999999999999,4.3373446320797715,0.06530612244897958,0.9800000000000001,0.775,0.17939814814814814,,5,10,1173603
GPT-OSS-20B,Always Cooperate,0.034,11.557561005950433,0.07755102040816327,0.06000000000000001,0.04,,0.03902238845247964,5,10,1148014
GPT-OSS-20B,Always Defect,0.004,-0.032,0.008163265306122448,0.0,0.0,0.004081632653061224,,5,10,1229485
GPT-OSS-20B,Graded TFT,0.003,0.7836544791666668,0.016326530612244896,0.015,0.0,0.008695652173913044,0.0,5,10,1209488
GPT-OSS-20B,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
GPT-OSS-20B,Random,0.025,4.770533073305031,0.05714285714285714,0.10500000000000001,0.0,0.03380952380952381,0.026877470355731226,5,10,1096215
GPT-OSS-20B,WSLS,0.0,0.8616309375,0.0,0.0,0.0,0.0,0.0,5,10,1282314
Gemma-3-27B,Always Cooperate,0.0,11.566646999509071,0.0,0.0,0.0,,0.0,5,10,1290340
Gemma-3-27B,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
Gemma-3-27B,Graded TFT,0.0,0.79652,0.0,0.0,0.0,0.0,0.0,5,10,1282125
Gemma-3-27B,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
Gemma-3-27B,Random,0.0,4.850726221782211,0.0,0.0,0.0,0.0,0.0,5,10,1288610
Gemma-3-27B,WSLS,0.0,0.8616309375,0.0,0.0,0.0,0.0,0.0,5,10,1282314
Llama-3.1-8B,Always Cooperate,0.0,11.566646999509071,0.0,0.0,0.0,,0.0,5,10,1290340
Llama-3.1-8B,Always Defect,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
Llama-3.1-8B,Graded TFT,0.0,0.79652,0.0,0.0,0.0,0.0,0.0,5,10,1282125
Llama-3.1-8B,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
Llama-3.1-8B,Random,0.0,4.850726221782211,0.0,0.0,0.0,0.0,0.0,5,10,1288610
Llama-3.1-8B,WSLS,0.0,0.8616309375,0.0,0.0,0.0,0.0,0.0,5,10,1282314
Qwen3-235B,Always Cooperate,0.984,9.490728579244768,0.03673469387755102,0.96,1.0,,1.0,5,10,1168461
Qwen3-235B,Always Defect,0.026000000000000002,-0.20800000000000002,0.03673469387755102,0.09,0.0,0.024489795918367346,,5,10,1206945
Qwen3-235B,Graded TFT,0.16399999999999998,2.310047782998592,0.004081632653061224,0.2,0.02,0.0,0.0,5,10,1259950
Qwen3-235B,Grim Trigger,0.0,0.0,0.0,0.0,0.0,0.0,,5,10,1278250
Qwen3-235B,Random,0.328,2.8260320340335876,0.09795918367346938,0.31,0.32999999999999996,0.08038095238095237,0.4403726708074534,5,10,1233008
Qwen3-235B,WSLS,0.537,4.195537806329526,0.02040816326530612,0.5549999999999999,0.48,0.0,0.0,5,10,1214239
