match_id,match_dir,model,model_raw,baseline,baseline_raw,seed,num_rounds,mean_coop,mean_reward,early_coop,late_coop,adaptation,switch_rate
deepseek_v32__vs__always_cooperate__seed101,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed101,DeepSeek-V3.2,deepseek_v32,Always Cooperate,always_cooperate,101,50,1.0,9.547893749855758,1.0,1.0,0.0,0.0
deepseek_v32__vs__always_cooperate__seed102,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed102,DeepSeek-V3.2,deepseek_v32,Always Cooperate,always_cooperate,102,50,1.0,9.759580610663024,1.0,1.0,0.0,0.0
deepseek_v32__vs__always_cooperate__seed103,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed103,DeepSeek-V3.2,deepseek_v32,Always Cooperate,always_cooperate,103,50,0.99,9.212552576056524,0.95,1.0,0.050000000000000044,0.02040816326530612
deepseek_v32__vs__always_cooperate__seed104,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed104,DeepSeek-V3.2,deepseek_v32,Always Cooperate,always_cooperate,104,50,0.99,8.94138984437509,0.95,1.0,0.050000000000000044,0.02040816326530612
deepseek_v32__vs__always_cooperate__seed105,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_cooperate__seed105,DeepSeek-V3.2,deepseek_v32,Always Cooperate,always_cooperate,105,50,1.0,9.795401576529459,1.0,1.0,0.0,0.0
deepseek_v32__vs__always_defect__seed101,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed101,DeepSeek-V3.2,deepseek_v32,Always Defect,always_defect,101,50,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_v32__vs__always_defect__seed102,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed102,DeepSeek-V3.2,deepseek_v32,Always Defect,always_defect,102,50,0.02,-0.16,0.1,0.0,-0.1,0.061224489795918366
deepseek_v32__vs__always_defect__seed103,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed103,DeepSeek-V3.2,deepseek_v32,Always Defect,always_defect,103,50,0.04,-0.32,0.2,0.0,-0.2,0.061224489795918366
deepseek_v32__vs__always_defect__seed104,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed104,DeepSeek-V3.2,deepseek_v32,Always Defect,always_defect,104,50,0.125,-1.0,0.425,0.0,-0.425,0.12244897959183673
deepseek_v32__vs__always_defect__seed105,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__always_defect__seed105,DeepSeek-V3.2,deepseek_v32,Always Defect,always_defect,105,50,0.08,-0.64,0.2,0.0,-0.2,0.14285714285714285
deepseek_v32__vs__graded_tft__seed101,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__graded_tft__seed101,DeepSeek-V3.2,deepseek_v32,Graded TFT,graded_tft,101,50,1.0,9.322068770327053,1.0,1.0,0.0,0.0
deepseek_v32__vs__graded_tft__seed102,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__graded_tft__seed102,DeepSeek-V3.2,deepseek_v32,Graded TFT,graded_tft,102,50,1.0,9.669627408696766,1.0,1.0,0.0,0.0
deepseek_v32__vs__graded_tft__seed103,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__graded_tft__seed103,DeepSeek-V3.2,deepseek_v32,Graded TFT,graded_tft,103,50,1.0,8.183634904652948,1.0,1.0,0.0,0.0
deepseek_v32__vs__graded_tft__seed104,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__graded_tft__seed104,DeepSeek-V3.2,deepseek_v32,Graded TFT,graded_tft,104,50,1.0,7.218548163526241,1.0,1.0,0.0,0.0
deepseek_v32__vs__graded_tft__seed105,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__graded_tft__seed105,DeepSeek-V3.2,deepseek_v32,Graded TFT,graded_tft,105,50,1.0,9.514151588030085,1.0,1.0,0.0,0.0
deepseek_v32__vs__grim_trigger__seed101,src\results\llm_vs_baseline\lvb__N2_M5_T50__p0.05__lam0.25__eta0.35__seeds5__f5__b6__swap0__t50__20260427_123810\deepseek_v32__vs__grim_trigger__seed101,DeepSeek-V3.2,deepseek_v32,Grim Trigger,grim_trigger,101,50,0.0,0.0,0.0,0.0,0.0,0.0
